Year,ID,STATION NAME,STATION LOCATION,AIR INTAKE,Ambient,Road-side,CAAQS,NAPS,AQHI/AQI,O3,PM2.5,NO2,SO2,CO,TRS,,
2022,12008,WINDSOR DOWNTOWN,467 UNIVERSITY AVE. W. ,4,Y,Y,Y,Y,Y,R,R,R,R,R,NR,,
2022,12016,WINDSOR WEST,COLLEGE AVE./SOUTH ST.,4,Y,N,N,Y,Y,R,R,R,R,NR,R,,
2022,13001,CHATHAM,435 GRAND AVE. W.,15,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,14111,SARNIA,700 CHRISTINA ST. N.,3,Y,N,Y,Y,Y,R,R,R,R,NR,R,,
2022,15020,GRAND BEND,POINT BLAKE CONSERVATION AREA,5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2022,15026,LONDON,42 ST. JULIEN ST.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,16015,PORT STANLEY,"43665 DEXTER LINE, ELGIN WATER T. PLANT",5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2022,18007,TIVERTON,4th CONCESSION/BRUCE RD. 23,4,Y,N,N,Y,Y,R,R,NR,NR,NR,NR,,
2022,21005,BRANTFORD,324 GRAND RIVER AVE.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,26060,KITCHENER,WEST AVE./HOMEWOOD AVE. ,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,27067,ST. CATHARINES,"ARGYLE CRES., PUMP STN.",4,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,28028,GUELPH,EXHIBITION ST./CLARK ST. W. ,4,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,29000,HAMILTON DOWNTOWN,ELGIN ST./KELLY ST. ,4,Y,Y,Y,Y,Y,R,R,R,R,R,R,,
2022,29118,HAMILTON WEST,MAIN ST. W./HWY 403,3,Y,Y,N,Y,Y,R,R,R,NR,NR,NR,,
2022,29214,HAMILTON MOUNTAIN,250 FENNELL AVE. W.,3,Y,N,Y,Y,Y,R,R,R,R,NR,NR,,
2022,31129,TORONTO DOWNTOWN,"55 JOHN ST., METRO HALL",2,Y,Y,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,33003,TORONTO EAST,KENNEDY RD./LAWRENCE AVE. E. ,4,Y,Y,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,34021,TORONTO NORTH,"4905 DUFFERIN ST., ECCC",5,Y,Y,Y,Y,Y,R,R,R,R,R,NR,,
2022,35125,TORONTO WEST,125 RESOURCES RD.,8,Y,Y,Y,Y,Y,R,R,R,R,R,NR,,
2022,44008,BURLINGTON,NORTH SHORE BLVD. E./LAKESHORE RD. ,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,44017,OAKVILLE,"EIGHTH LINE/GLENASHTON DR., HALTON RESERVOIR",12,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,44029,MILTON,1120 MAIN ST. E.,4,Y,N,Y,Y,Y,R,R,R,R,NR,NR,,
2022,45027,OSHAWA,"BRITTANIA AVE. W., EP TAYLOR STABLES",7,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,46090,BRAMPTON,109 McLAUGHLIN RD. S.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,46108,MISSISSAUGA,"3359 MISSISSAUGA RD. N., U OF T CAMPUS",5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,47045,BARRIE,83 PERRY ST.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,48006,NEWMARKET,EAGLE ST. W./McCAFFREY RD.,5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2022,49005,PARRY SOUND,7 BAY ST.,5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2022,49010,DORSET,1026 BELLWOOD ACRES RD.,3,Y,N,N,Y,Y,R,R,NR,NR,NR,NR,,
2022,51001,OTTAWA DOWNTOWN,RIDEAU ST./WURTEMBURG ST.,4,Y,N,Y,Y,Y,R,R,R,R,NR,NR,,
2022,52023,KINGSTON,23 BEECHGROVE LANE,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,54012,BELLEVILLE,"2 SIDNEY ST., WATER TREATMENT PLANT",10,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2022,56051,CORNWALL,BEDFORD ST./3RD ST. W.,4,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2022,59006,PETERBOROUGH,10 HOSPITAL DR.,10,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,63203,THUNDER BAY,421 JAMES ST. S. ,15,Y,Y,Y,Y,Y,R,R,R,NR,NR,NR,,
2022,71078,SAULT STE. MARIE,SAULT COLLEGE,8,Y,N,Y,Y,Y,R,R,R,R,NR,R,,
2022,75010,NORTH BAY,"CHIPPEWA ST. W., DEPT. NATIONAL DEFENCE",4,Y,Y,N,Y,Y,R,R,R,NR,NR,NR,,
2022,77233,SUDBURY,155 ELM ST.,3,Y,N,Y,Y,Y,R,R,R,R,NR,NR,,
2021,12008,WINDSOR DOWNTOWN,467 UNIVERSITY AVE. W. ,4,Y,Y,Y,Y,Y,R,R,R,R,R,NR,,
2021,12016,WINDSOR WEST,COLLEGE AVE./SOUTH ST.,4,Y,N,N,Y,Y,R,R,R,R,NR,R,,
2021,13001,CHATHAM,435 GRAND AVE. W.,15,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2021,14111,SARNIA,700 CHRISTINA ST. N.,3,Y,N,Y,Y,Y,R,R,R,R,NR,R,,
2021,15020,GRAND BEND,POINT BLAKE CONSERVATION AREA,5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2021,15026,LONDON,42 ST. JULIEN ST.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2021,16015,PORT STANLEY,"43665 DEXTER LINE, ELGIN WATER T. PLANT",5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2021,18007,TIVERTON,4th CONCESSION/BRUCE RD. 23,4,Y,N,N,Y,Y,R,R,NR,NR,NR,NR,,
2021,21005,BRANTFORD,324 GRAND RIVER AVE.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2021,26060,KITCHENER,WEST AVE./HOMEWOOD AVE. ,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2021,27067,ST. CATHARINES,"ARGYLE CRES., PUMP STN.",4,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2021,28028,GUELPH,EXHIBITION ST./CLARK ST. W. ,4,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2021,29000,HAMILTON DOWNTOWN,ELGIN ST./KELLY ST. ,4,Y,Y,Y,Y,Y,R,R,R,R,R,R,,
2021,29118,HAMILTON WEST,MAIN ST. W./HWY 403,3,Y,Y,N,Y,Y,R,R,R,NR,NR,NR,,
2021,29214,HAMILTON MOUNTAIN,250 FENNELL AVE. W.,3,Y,N,Y,Y,Y,R,R,R,R,NR,NR,,
2021,31129,TORONTO DOWNTOWN,"55 JOHN ST., METRO HALL",2,Y,Y,Y,Y,Y,R,R,R,NR,NR,NR,,
2021,33003,TORONTO EAST,KENNEDY RD./LAWRENCE AVE. E. ,4,Y,Y,Y,Y,Y,R,R,R,NR,NR,NR,,
2021,34021,TORONTO NORTH,"4905 DUFFERIN ST., ECCC",5,Y,Y,Y,Y,Y,R,R,R,R,R,NR,,
2021,35125,TORONTO WEST,125 RESOURCES RD.,8,Y,Y,Y,Y,Y,R,R,R,R,R,NR,,
2021,44008,BURLINGTON,NORTH SHORE BLVD. E./LAKESHORE RD. ,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2021,44017,OAKVILLE,"EIGHTH LINE/GLENASHTON DR., HALTON RESERVOIR",12,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2021,44029,MILTON,1120 MAIN ST. E.,4,Y,N,Y,Y,Y,R,R,R,R,NR,NR,,
2021,45027,OSHAWA,"BRITTANIA AVE. W., EP TAYLOR STABLES",7,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2021,46090,BRAMPTON,109 McLAUGHLIN RD. S.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2021,46108,MISSISSAUGA,"3359 MISSISSAUGA RD. N., U OF T CAMPUS",5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2021,47045,BARRIE,83 PERRY ST.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2021,48006,NEWMARKET,EAGLE ST. W./McCAFFREY RD.,5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2021,49005,PARRY SOUND,7 BAY ST.,5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2021,49010,DORSET,1026 BELLWOOD ACRES RD.,3,Y,N,N,Y,Y,R,R,NR,NR,NR,NR,,
2021,51001,OTTAWA DOWNTOWN,RIDEAU ST./WURTEMBURG ST.,4,Y,N,Y,Y,Y,R,R,R,R,R,NR,,
2021,51010,PETAWAWA,PETAWAWA RESEARCH FOREST FACILITY,6,Y,N,N,Y,Y,R,R,NR,NR,NR,NR,,
2021,52023,KINGSTON,23 BEECHGROVE LANE,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2021,54012,BELLEVILLE,"2 SIDNEY ST., WATER TREATMENT PLANT",10,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2021,56051,CORNWALL,BEDFORD ST./3RD ST. W.,4,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2021,59006,PETERBOROUGH,10 HOSPITAL DR.,10,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2021,63203,THUNDER BAY,421 JAMES ST. S. ,15,Y,Y,Y,Y,Y,R,R,R,NR,NR,NR,,
2021,71078,SAULT STE. MARIE,SAULT COLLEGE,8,Y,N,Y,Y,Y,R,R,R,R,NR,R,,
2021,75010,NORTH BAY,"CHIPPEWA ST. W., DEPT. NATIONAL DEFENCE",4,Y,Y,N,Y,Y,R,R,R,NR,NR,NR,,
2021,77233,SUDBURY,155 ELM ST.,3,Y,N,Y,Y,Y,R,R,R,R,NR,NR,,
2020,12008,WINDSOR DOWNTOWN,467 UNIVERSITY AVE. W. ,4,Y,Y,Y,Y,Y,R,R,R,R,R,NR,,
2020,12016,WINDSOR WEST,COLLEGE AVE./SOUTH ST.,4,Y,N,N,Y,Y,R,R,R,R,NR,R,,
2020,13001,CHATHAM,435 GRAND AVE. W.,15,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2020,14111,SARNIA,700 CHRISTINA ST. N.,3,Y,N,Y,Y,Y,R,R,R,R,NR,R,,
2020,15020,GRAND BEND,POINT BLAKE CONSERVATION AREA,5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2020,15026,LONDON,42 ST. JULIEN ST.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2020,16015,PORT STANLEY,"43665 DEXTER LINE, ELGIN WATER T. PLANT",5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2020,18007,TIVERTON,4th CONCESSION/BRUCE RD. 23,4,Y,N,N,Y,Y,R,R,NR,NR,NR,NR,,
2020,21005,BRANTFORD,324 GRAND RIVER AVE.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2020,26060,KITCHENER,WEST AVE./HOMEWOOD AVE. ,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2020,27067,ST. CATHARINES,"ARGYLE CRES., PUMP STN.",4,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2020,28028,GUELPH,EXHIBITION ST./CLARK ST. W. ,4,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2020,29000,HAMILTON DOWNTOWN,ELGIN ST./KELLY ST. ,4,Y,Y,Y,Y,Y,R,R,R,R,R,R,,
2020,29118,HAMILTON WEST,MAIN ST. W./HWY 403,3,Y,Y,N,Y,Y,R,R,R,NR,NR,NR,,
2020,29214,HAMILTON MOUNTAIN,250 FENNELL AVE. W.,3,Y,N,Y,Y,Y,R,R,R,T,NR,NR,,
2020,31129,TORONTO DOWNTOWN,"55 JOHN ST., METRO HALL",2,Y,Y,Y,Y,Y,R,R,R,NR,NR,NR,,
2020,33003,TORONTO EAST,KENNEDY RD./LAWRENCE AVE. E. ,4,Y,Y,Y,Y,Y,R,R,R,NR,NR,NR,,
2020,34021,TORONTO NORTH,"4905 DUFFERIN ST., ECCC",5,Y,Y,Y,Y,Y,R,R,R,R,R,NR,,
2020,35125,TORONTO WEST,125 RESOURCES RD.,8,Y,Y,Y,Y,Y,R,R,R,R,R,NR,,
2020,44008,BURLINGTON,NORTH SHORE BLVD. E./LAKESHORE RD. ,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2020,44017,OAKVILLE,"EIGHTH LINE/GLENASHTON DR., HALTON RESERVOIR",12,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2020,44029,MILTON,1120 MAIN ST. E.,4,Y,N,Y,Y,Y,R,R,R,R,NR,NR,,
2020,45027,OSHAWA,"BRITTANIA AVE. W., EP TAYLOR STABLES",7,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2020,46090,BRAMPTON,109 McLAUGHLIN RD. S.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2020,46108,MISSISSAUGA,"3359 MISSISSAUGA RD. N., U OF T CAMPUS",5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2020,47045,BARRIE,83 PERRY ST.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2020,48006,NEWMARKET,EAGLE ST. W./McCAFFREY RD.,5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2020,49005,PARRY SOUND,7 BAY ST.,5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2020,49010,DORSET,1026 BELLWOOD ACRES RD.,3,Y,N,N,Y,Y,R,R,NR,NR,NR,NR,,
2020,51001,OTTAWA DOWNTOWN,RIDEAU ST./WURTEMBURG ST.,4,Y,N,Y,Y,Y,R,R,R,R,R,NR,,
2020,51010,PETAWAWA,PETAWAWA RESEARCH FOREST FACILITY,6,Y,N,N,Y,Y,R,R,NR,NR,NR,NR,,
2020,52023,KINGSTON,23 BEECHGROVE LANE,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2020,54012,BELLEVILLE,"2 SIDNEY ST., WATER TREATMENT PLANT",10,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2020,56051,CORNWALL,BEDFORD ST./3RD ST. W.,4,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2020,59006,PETERBOROUGH,10 HOSPITAL DR.,10,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2020,63203,THUNDER BAY,421 JAMES ST. S. ,15,Y,Y,Y,Y,Y,R,R,R,NR,NR,NR,,
2020,71078,SAULT STE. MARIE,SAULT COLLEGE,8,Y,N,Y,Y,Y,R,R,R,R,NR,R,,
2020,75010,NORTH BAY,"CHIPPEWA ST. W., DEPT. NATIONAL DEFENCE",4,Y,Y,N,Y,Y,R,R,R,NR,NR,NR,,
2020,77233,SUDBURY,155 ELM ST.,3,Y,N,Y,Y,Y,R,R,R,R,NR,NR,,
2019,12008,WINDSOR DOWNTOWN,467 UNIVERSITY AVE. W. ,4,Y,Y,Y,Y,Y,R,R,R,R,R,NR,,
2019,12016,WINDSOR WEST,COLLEGE AVE./SOUTH ST.,4,Y,N,N,Y,Y,R,R,R,R,NR,R,,
2019,13001,CHATHAM,435 GRAND AVE. W.,15,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2019,14111,SARNIA,700 CHRISTINA ST. N.,3,Y,N,Y,Y,Y,R,R,R,R,NR,R,,
2019,15020,GRAND BEND,POINT BLAKE CONSERVATION AREA,5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2019,15026,LONDON,42 ST. JULIEN ST.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2019,16015,PORT STANLEY,"43665 DEXTER LINE, ELGIN WATER T. PLANT",5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2019,18007,TIVERTON,4th CONCESSION/BRUCE RD. 23,4,Y,N,N,Y,Y,R,R,NR,NR,NR,NR,,
2019,21005,BRANTFORD,324 GRAND RIVER AVE.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2019,26060,KITCHENER,WEST AVE./HOMEWOOD AVE. ,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2019,27067,ST. CATHARINES,"ARGYLE CRES., PUMP STN.",4,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2019,28028,GUELPH,EXHIBITION ST./CLARK ST. W. ,4,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2019,29000,HAMILTON DOWNTOWN,ELGIN ST./KELLY ST. ,4,Y,Y,Y,Y,Y,R,R,R,R,R,R,,
2019,29118,HAMILTON WEST,MAIN ST. W./HWY 403,3,Y,Y,N,Y,Y,R,R,R,NR,NR,NR,,
2019,29214,HAMILTON MOUNTAIN,250 FENNELL AVE. W.,3,Y,N,Y,Y,Y,R,R,R,T,NR,NR,,
2019,31103,TORONTO DOWNTOWN,BAY ST./WELLESLEY ST. W. ,10,Y,Y,Y,Y,Y,R,R,R,NR,NR,NR,,
2019,31129,TORONTO DOWNTOWN,"55 JOHN ST., METRO HALL",2,Y,Y,Y,Y,Y,R,R,R,NR,NR,NR,,
2019,33003,TORONTO EAST,KENNEDY RD./LAWRENCE AVE. E. ,4,Y,Y,Y,Y,Y,R,R,R,NR,NR,NR,,
2019,34021,TORONTO NORTH,"4905 DUFFERIN ST., ECCC",5,Y,Y,Y,Y,Y,R,R,R,R,R,NR,,
2019,35125,TORONTO WEST,125 RESOURCES RD.,8,Y,Y,Y,Y,Y,R,R,R,R,R,NR,,
2019,44008,BURLINGTON,NORTH SHORE BLVD. E./LAKESHORE RD. ,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2019,44017,OAKVILLE,"EIGHTH LINE/GLENASHTON DR., HALTON RESERVOIR",12,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2019,44029,MILTON,1120 MAIN ST. E.,4,Y,N,N,Y,Y,R,R,R,R,NR,NR,,
2019,45027,OSHAWA,"BRITTANIA AVE. W., EP TAYLOR STABLES",7,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2019,46090,BRAMPTON,109 McLAUGHLIN RD. S.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2019,46108,MISSISSAUGA,"3359 MISSISSAUGA RD. N., U OF T CAMPUS",5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2019,47045,BARRIE,83 PERRY ST.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2019,48006,NEWMARKET,EAGLE ST. W./McCAFFREY RD.,5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2019,49005,PARRY SOUND,7 BAY ST.,5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2019,49010,DORSET,1026 BELLWOOD ACRES RD.,3,Y,N,N,Y,Y,R,R,NR,NR,NR,NR,,
2019,51001,OTTAWA DOWNTOWN,RIDEAU ST./WURTEMBURG ST.,4,Y,N,Y,Y,Y,R,R,R,R,R,NR,,
2019,51010,PETAWAWA,PETAWAWA RESEARCH FOREST FACILITY,6,Y,N,N,Y,Y,R,R,NR,NR,NR,NR,,
2019,52023,KINGSTON,23 BEECHGROVE LANE,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2019,54012,BELLEVILLE,"2 SIDNEY ST., WATER TREATMENT PLANT",10,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2019,56051,CORNWALL,BEDFORD ST./3RD ST. W.,4,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2019,59006,PETERBOROUGH,10 HOSPITAL DR.,10,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2019,63203,THUNDER BAY,421 JAMES ST. S. ,15,Y,Y,Y,Y,Y,R,R,R,NR,NR,NR,,
2019,71078,SAULT STE. MARIE,SAULT COLLEGE,8,Y,N,Y,Y,Y,R,R,R,R,NR,R,,
2019,75010,NORTH BAY,"CHIPPEWA ST. W., DEPT. NATIONAL DEFENCE",4,Y,Y,N,Y,Y,R,R,R,NR,NR,NR,,
2019,77233,SUDBURY,155 ELM ST.,3,Y,N,Y,Y,Y,R,R,R,R,NR,NR,,
2019,81103,TORONTO DOWNTOWN*,"185 COLLEGE ST., WALLBERG BLDG, U OF T",17,Y,Y,Y,Y,Y,R,R,R,NR,NR,NR,,
2018,12008,WINDSOR DOWNTOWN,467 UNIVERSITY AVE. W. ,4,Y,Y,Y,Y,Y,R,R,R,R,R,NR,,
2018,12016,WINDSOR WEST,COLLEGE AVE./SOUTH ST.,4,Y,N,N,Y,Y,R,R,R,R,NR,R,,
2018,13001,CHATHAM,435 GRAND AVE. W.,15,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2018,14111,SARNIA,700 CHRISTINA ST. N.,3,Y,N,Y,Y,Y,R,R,R,R,NR,R,,
2018,15020,GRAND BEND,POINT BLAKE CONSERVATION AREA,5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2018,15026,LONDON,42 ST. JULIEN ST.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2018,16015,PORT STANLEY,"43665 DEXTER LINE, ELGIN WATER T. PLANT",5,Y,N,N,Y,Y,R,R,R,NR,NR,NR,,
2018,18007,TIVERTON,4th CONCESSION/BRUCE RD. 23,4,Y,N,N,Y,Y,R,R,NR,NR,NR,NR,,
2018,21005,BRANTFORD,324 GRAND RIVER AVE.,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2018,26060,KITCHENER,WEST AVE./HOMEWOOD AVE. ,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2018,27067,ST. CATHARINES,"ARGYLE CRES., PUMP STN.",4,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2018,28028,GUELPH,EXHIBITION ST./CLARK ST. W. ,4,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
2018,29000,HAMILTON DOWNTOWN,ELGIN ST./KELLY ST. ,4,Y,Y,Y,Y,Y,R,R,R,R,R,R,,
2018,29114,HAMILTON MOUNTAIN,VICKERS RD./E. 18TH ST.,3,Y,N,Y,Y,Y,R,R,R,R,NR,NR,,
2018,29118,HAMILTON WEST,MAIN ST. W./HWY 403,3,Y,Y,N,Y,Y,R,R,R,NR,NR,NR,,
2018,31103,TORONTO DOWNTOWN,BAY ST./WELLESLEY ST. W. ,10,Y,Y,Y,Y,Y,R,R,R,NR,NR,NR,,
2018,33003,TORONTO EAST,KENNEDY RD./LAWRENCE AVE. E. ,4,Y,Y,Y,Y,Y,R,R,R,NR,NR,NR,,
2018,34021,TORONTO NORTH,"4905 DUFFERIN ST., ECCC",5,Y,Y,Y,Y,Y,R,R,R,R,R,NR,,
2018,35125,TORONTO WEST,125 RESOURCES RD.,8,Y,Y,Y,Y,Y,R,R,R,R,R,NR,,
2018,44008,BURLINGTON,NORTH SHORE BLVD. E./LAKESHORE RD. ,5,Y,N,Y,Y,Y,R,R,R,NR,NR,NR,,
